ts,asset,yt_id,kind,views,likes
2026-06-13T14:02:43+00:00,v1_long_MaryCeleste,sB8VXu2OHtY,long,,
2026-06-13T14:02:43+00:00,v2_long_Dyatlov,pM-u_8ONjI0,long,,
2026-06-13T14:02:43+00:00,v3_long_Tunguska,FacPhS3hNjU,long,,
2026-06-13T14:02:43+00:00,v1_hook,_TGvU9o7i4Q,short,,
2026-06-13T14:02:43+00:00,v1_twist,x2VsCWJ-r1o,short,,
2026-06-13T14:02:43+00:00,v2_hook,Lfb_h4T7rtQ,short,4,0
2026-06-13T14:02:43+00:00,v1_answer,foCq3gOm5dg,short,,
2026-06-13T14:02:43+00:00,v2_twist,vxP6XiJKLkg,short,,
2026-06-13T14:02:43+00:00,v2_answer,TwJNypz8c4I,short,,
2026-06-13T14:02:43+00:00,v3_hook,5e8ELVo5ARg,short,,
2026-06-13T14:02:43+00:00,v3_twist,0eDPVcgODvY,short,,
2026-06-13T14:02:43+00:00,v3_answer,y3xLIfOAPHA,short,106,2
2026-06-15T18:07:00+00:00,v1_long_MaryCeleste,sB8VXu2OHtY,long,,
2026-06-15T18:07:00+00:00,v2_long_Dyatlov,pM-u_8ONjI0,long,,
2026-06-15T18:07:00+00:00,v3_long_Tunguska,FacPhS3hNjU,long,,
2026-06-15T18:07:00+00:00,v1_hook,_TGvU9o7i4Q,short,,
2026-06-15T18:07:00+00:00,v1_twist,x2VsCWJ-r1o,short,,
2026-06-15T18:07:00+00:00,v2_hook,Lfb_h4T7rtQ,short,,
2026-06-15T18:07:00+00:00,v1_answer,foCq3gOm5dg,short,,
2026-06-15T18:07:00+00:00,v2_twist,vxP6XiJKLkg,short,,
2026-06-15T18:07:00+00:00,v2_answer,TwJNypz8c4I,short,,
2026-06-15T18:07:00+00:00,v3_hook,5e8ELVo5ARg,short,1,0
2026-06-15T18:07:00+00:00,v3_twist,0eDPVcgODvY,short,,
2026-06-15T18:07:00+00:00,v3_answer,y3xLIfOAPHA,short,,
2026-06-15T18:07:00+00:00,v1_bonus_briggs,vZ68HlWfT-Q,short,,
